"Time","Usage for esxilocal.hbmsolutions.mt","Usage in MHz for esxilocal.hbmsolutions.mt"
"2026-05-22T15:25:00.000Z",13.65,2566
"2026-05-22T15:30:00.000Z",14.25,2679
"2026-05-22T15:35:00.000Z",16.39,3083
"2026-05-22T15:40:00.000Z",15.19,2857
"2026-05-22T15:45:00.000Z",14.38,2705
"2026-05-22T15:50:00.000Z",13.72,2580
"2026-05-22T15:55:00.000Z",13.99,2631
"2026-05-22T16:00:00.000Z",14.14,2659
"2026-05-22T16:05:00.000Z",14.53,2732
"2026-05-22T16:10:00.000Z",12.22,2298
"2026-05-22T16:15:00.000Z",14.7,2765
"2026-05-22T16:20:00.000Z",14.4,2708
"2026-05-22T16:25:00.000Z",14.58,2742
"2026-05-22T16:30:00.000Z",13.9,2613
"2026-05-22T16:35:00.000Z",14.37,2702
"2026-05-22T16:40:00.000Z",13.16,2474
"2026-05-22T16:45:00.000Z",13.01,2446
"2026-05-22T16:50:00.000Z",13.68,2572
"2026-05-22T16:55:00.000Z",14,2632
"2026-05-22T17:00:00.000Z",12.46,2344
"2026-05-22T17:05:00.000Z",14.63,2752
"2026-05-22T17:10:00.000Z",14.07,2646
"2026-05-22T17:15:00.000Z",15.59,2932
"2026-05-22T17:20:00.000Z",15.19,2856
"2026-05-22T17:25:00.000Z",13.84,2603
"2026-05-22T17:30:00.000Z",13.49,2536
"2026-05-22T17:35:00.000Z",14.52,2731
"2026-05-22T17:40:00.000Z",13.53,2545
"2026-05-22T17:45:00.000Z",13.3,2500
"2026-05-22T17:50:00.000Z",13.6,2558
"2026-05-22T17:55:00.000Z",12.96,2438
"2026-05-22T18:00:00.000Z",13.87,2608
"2026-05-22T18:05:00.000Z",15.23,2864
"2026-05-22T18:10:00.000Z",14,2633
"2026-05-22T18:15:00.000Z",13.71,2578
"2026-05-22T18:20:00.000Z",15.04,2828
"2026-05-22T18:25:00.000Z",23.09,4341
"2026-05-22T18:30:00.000Z",19.39,3647
"2026-05-22T18:35:00.000Z",26.32,4948
